Country,Code,Time,Credit_GDP,GDP_growth,Low20,Low20t-1,Low20t-2,High20,High20t-1,High20t-2,Inflation,FDI_GDP,UMP
Luxembourg,LUX,2006,152.0951348,5.178485966,8.2,8.2,8.3,39.5,39.5,38.7,7.035516419,75.96383407,0
Luxembourg,LUX,2007,184.4380912,8.354553209,8.3,8.2,8.2,39.7,39.5,39.5,1.490136296,-58.32288048,0
Luxembourg,LUX,2008,189.8549542,-1.279585572,7.8,8.3,8.2,40.8,39.7,39.5,3.883715788,12.74333532,0
Luxembourg,LUX,2009,191.95967,-4.358607005,8,7.8,8.3,39.2,40.8,39.7,1.398017695,53.05599775,0
Luxembourg,LUX,2010,221.1170683,4.86496856,8.2,8,7.8,38.8,39.2,40.8,3.616722473,73.53262074,1
Luxembourg,LUX,2011,209.8430276,2.539234839,7.8,8.2,8,39.9,38.8,39.2,4.773590945,14.73745723,1
Luxembourg,LUX,2012,204.6694903,-0.35251936,7.3,7.8,8.2,41.7,39.9,38.8,2.556496803,252.3081073,1
Luxembourg,LUX,2013,188.2318886,3.654370385,7.6,7.3,7.8,39.7,41.7,39.9,1.695922765,16.97650882,1
Luxembourg,LUX,2014,192.6031262,5.771915882,7.9,7.6,7.3,39.1,39.7,41.7,1.645842437,-15.88223131,1
Portugal,PRT,2006,152.9900547,1.553053256,6.7,6.7,6.4,45.4,46.1,46.3,3.185394855,6.328223238,0
Portugal,PRT,2007,162.9633102,2.492001318,6.8,6.7,6.7,44.2,45.4,46.1,2.979067503,2.509138013,0
Portugal,PRT,2008,175.7418585,0.199272801,6.9,6.8,6.7,44.1,44.2,45.4,1.737715365,2.985171797,0
Portugal,PRT,2009,192.272146,-2.978104267,7.2,6.9,6.8,42.5,44.1,44.2,1.096322999,2.288819188,0
Portugal,PRT,2010,205.940303,1.898691176,7,7.2,6.9,43.4,42.5,44.1,0.64347606,3.54832691,1
Portugal,PRT,2011,204.7862904,-1.826852351,6.8,7,7.2,43.8,43.4,42.5,-0.26957346,4.00893304,1
Portugal,PRT,2012,201.2482704,-4.028256748,6.4,6.8,7,43.2,43.8,43.4,-0.397566921,10.15704951,1
Portugal,PRT,2013,188.5542192,-1.130154643,6.3,6.4,6.8,43.1,43.2,43.8,2.267046901,4.779368877,1
Portugal,PRT,2014,173.7344822,0.893185924,6.5,6.3,6.4,42.6,43.1,43.2,0.750279541,5.710516805,1
Slovak Republic,SVK,2006,50.38673048,8.452887748,9.3,8.7,8.7,35.5,38.3,35.9,2.919035181,8.068986332,0
Slovak Republic,SVK,2007,51.28683433,10.79957705,9.5,9.3,8.7,34.5,35.5,38.3,1.129145221,5.862432149,0
Slovak Republic,SVK,2008,54.13413842,5.629779025,9.1,9.5,9.3,35.6,34.5,35.5,2.834598454,4.62687859,0
Slovak Republic,SVK,2009,65.30098584,-5.422542313,8.6,9.1,9.5,36.1,35.6,34.5,-1.164869253,1.707853803,0
Slovak Republic,SVK,2010,64.57971501,5.041716665,8.5,8.6,9.1,36.1,36.1,35.6,0.485295447,2.365847361,1
Slovak Republic,SVK,2011,65.86157558,2.819099518,8.7,8.5,8.6,35.4,36.1,36.1,1.647678658,5.527148518,1
Slovak Republic,SVK,2012,62.96193693,1.657148687,8.6,8.7,8.5,34.9,35.4,36.1,1.261755496,1.90202119,1
Slovak Republic,SVK,2013,62.01814583,1.490646438,8.3,8.6,8.7,36.5,34.9,35.4,0.518528057,1.019320811,1
Slovak Republic,SVK,2014,65.19578326,2.750335017,8.4,8.3,8.6,34.5,36.5,34.9,-0.160089648,-0.359042208,1
Slovenia,SVN,2006,72.00863731,5.655999211,10,9.9,9.8,34.5,34.6,34.7,2.18824648,1.746976636,0
Slovenia,SVN,2007,80.75754598,6.941645669,10,10,9.9,34.4,34.5,34.6,4.16865333,3.917583057,0
Slovenia,SVN,2008,86.33716097,3.300130299,10.2,10,10,34,34.4,34.5,4.51224703,1.944743913,0
Slovenia,SVN,2009,91.88888413,-7.797276576,9.9,10.2,10,34.7,34,34.4,3.355540741,-0.68916437,0
Slovenia,SVN,2010,95.98026575,1.237755909,9.7,9.9,10.2,34.8,34.7,34,-0.987114141,0.664509447,1
Slovenia,SVN,2011,92.3773369,0.649366928,9.7,9.7,9.9,34.8,34.8,34.7,1.119435872,1.707021412,1
Slovenia,SVN,2012,92.58259469,-2.669582052,9.4,9.7,9.7,35.2,34.8,34.8,0.458813835,0.072375532,1
Slovenia,SVN,2013,82.91385963,-1.132054981,9.2,9.4,9.7,35.6,35.2,34.8,1.602324383,0.216095859,1
Slovenia,SVN,2014,68.10637463,2.979196038,9.4,9.2,9.4,35.4,35.6,35.2,0.793274625,2.042466544,1
